role,scene,delta_psnr_db,delta_ssim,delta_lpips,point_reduction_pct,delta_accuracy_mean_m,delta_completeness_mean_m,delta_chamfer_l1_m,delta_fscore_5cm,delta_psnr_db_paired_std,delta_ssim_paired_std,delta_lpips_paired_std,point_reduction_pct_paired_std,delta_accuracy_mean_m_paired_std,delta_completeness_mean_m_paired_std,delta_chamfer_l1_m_paired_std,delta_fscore_5cm_paired_std
development,P01,0.2389672597249337,0.0008495251337686804,-0.0038309991359710693,28.234730557808852,0.0025753056009610586,-0.0017820348342259748,0.00039663414160411026,-0.004605332862066547,1.0522080307979274,0.002102749800973533,0.007275703451517273,8.255234679977054,0.0004196290771819077,0.0005578495746886671,0.00014733151846321613,0.0068693839895016704
development,P02,0.18673833211262902,-0.0003402829170227051,-0.004051576058069883,30.673882186350117,-0.0012298673391342163,-0.0016447926561037676,-0.0014373287558555603,0.002494075102142612,0.24925209735430004,0.000947110428955444,0.0013392623731289764,12.866929741737593,0.0037549299339868234,0.0005685377946440295,0.0018454727460329866,0.0064183255780105595
held_out,P03,0.013285319010417851,0.0013568798700968054,-0.0020206967989603586,5.02362027006055,0.004656841357549034,-0.0014642849564552307,0.0015962806840737684,-0.00833697096330921,0.32160496855218895,0.0010893942887743174,0.0025674487084045476,4.853522049678465,0.0007672250589574823,0.00022195233400961806,0.00048377154352060556,0.0041497547320715955
held_out,P04,-0.15322494506835938,-0.007645289103190067,0.007813230156898499,5.163227926628611,-0.006988103191057839,-0.0007451958954334259,-0.0038666489223639217,-0.01259028478750912,1.2230396512849662,0.010919389735157832,0.013289001692134228,2.831248091317007,0.011932023903049968,0.0004148620280052262,0.006055498223042036,0.012177693372752435
