role,scene,method,runs,psnr_mean,psnr_std,ssim_mean,ssim_std,lpips_mean,lpips_std,points_mean,points_std,accuracy_mean_m_mean,accuracy_mean_m_std,completeness_mean_m_mean,completeness_mean_m_std,chamfer_l1_m_mean,chamfer_l1_m_std,fscore_5cm_mean,fscore_5cm_std
development,P01,official_3dgs,3,18.88893699645996,0.6305908206891108,0.7946391105651855,0.0011460694377719678,0.37623198827107746,0.0022850339614415584,676372.6666666666,42549.088078751265,0.09230030079682668,0.00016140273920396583,0.03964997952183088,0.0006013986173172042,0.06597514202197392,0.00032989878501265863,0.4399122588110052,0.005410107432996919
development,P01,brgs_v34,3,19.127904256184895,0.4352182993087705,0.7954886356989542,0.0010637681954069483,0.3724009891351064,0.0049958871562567585,485400.6666666667,25687.48392375815,0.09487560639778773,0.00037279579254884945,0.037867944687604904,0.00011725895419645508,0.06637177616357803,0.00020268711827395417,0.43530692594893866,0.0017206199660599795
development,P02,official_3dgs,3,17.897241592407227,0.15964328829808652,0.7077522873878479,0.00041675967859309366,0.3986913363138835,0.0009889556989998109,1175121.3333333333,156312.20422709588,0.09472574790318807,0.001780572278540504,0.03644668310880661,0.00020565189606254215,0.06558621674776077,0.0009068829991089191,0.4509651415611056,0.0020906114771920004
development,P02,brgs_v34,3,18.083979924519856,0.12466380187994262,0.7074120044708252,0.0012638131491587157,0.3946397602558136,0.0016458623114754011,814666.0,112310.75405765914,0.09349588056405385,0.0019757053656026344,0.03480189045270284,0.00037908181096608186,0.06414888799190521,0.0009425958813172099,0.45345921666324823,0.0044076035916035825
held_out,P03,official_3dgs,3,21.614425659179688,0.3031454248359126,0.8873672684033712,0.0012453540889368125,0.1695652554432551,0.0024064554671293903,1338045.6666666667,68653.73883725003,0.045366983860731125,0.0004076214174594524,0.0280617152651151,9.160152064313304e-05,0.0367143489420414,0.00016031014688778946,0.752394260479388,0.0009110369135821487
held_out,P03,brgs_v34,3,21.627710978190105,0.038926718127316205,0.888724148273468,0.0010963284185834703,0.16754455864429474,0.002616034499336509,1270827.3333333333,9363.22392839845,0.05002382521828016,0.0003814000351550451,0.02659743030865987,0.0002814069054006397,0.038310629626115165,0.00033138800175323905,0.7440572895160787,0.003245589284508525
held_out,P04,official_3dgs,3,23.610471725463867,1.3664493637706567,0.8970903754234314,0.006775511140212522,0.20198077460130057,0.006713664494870022,830423.6666666666,19859.819040800277,0.06664068748553593,0.008873773496602457,0.024046335369348526,0.00037280289688060585,0.04534351204832395,0.004617380808075722,0.7612683233306576,0.010186599112633886
held_out,P04,brgs_v34,3,23.457246780395508,1.233864212683257,0.8894450863202413,0.01163682781803092,0.20979400475819907,0.01650316234920191,787547.0,21453.26961094742,0.059652584294478096,0.008236455819277469,0.0233011394739151,6.356638564139585e-05,0.04147686312596003,0.004088663150482306,0.7486780385431485,0.007232830922397705
