scene,role,method,runs,psnr_mean,psnr_std,ssim_mean,ssim_std,lpips_mean,lpips_std,points_mean,points_std,accuracy_mean_m_mean,accuracy_mean_m_std,accuracy_p90_m_mean,accuracy_p90_m_std,completeness_mean_m_mean,completeness_mean_m_std,completeness_p90_m_mean,completeness_p90_m_std,chamfer_l1_m_mean,chamfer_l1_m_std,fscore_1cm_mean,fscore_1cm_std,fscore_2cm_mean,fscore_2cm_std,fscore_5cm_mean,fscore_5cm_std,pruned_fraction_mean,pruned_fraction_std
P01,development,brgs_v34,3,19.127904256184895,0.4352182993087705,0.7954886356989542,0.0010637681954069483,0.3724009891351064,0.0049958871562567585,485400.6666666667,25687.48392375815,0.09487560639778773,0.00037279579254884945,0.1838873123129209,0.0013320825414635203,0.037867944687604904,0.00011725895419645508,0.0626012875388066,0.0002629541757695288,0.06637177616357803,0.00020268711827395417,0.03937660647103494,0.0008554023861127187,0.14574180145948235,0.0014350296660803213,0.43530692594893866,0.0017206199660599795,0.03861089642821072,0.004423913410997999
P01,development,official_3dgs,3,18.88893699645996,0.6305908206891108,0.7946391105651855,0.0011460694377719678,0.37623198827107746,0.0022850339614415584,676372.6666666666,42549.088078751265,0.09230030079682668,0.00016140273920396583,0.17661127497752507,0.0004479416638578878,0.03964997952183088,0.0006013986173172042,0.06623228589693704,0.0013113388410322415,0.06597514202197392,0.00032989878501265863,0.038461639732710724,0.00034917641056041865,0.14426374260022065,0.002357953365413616,0.4399122588110052,0.005410107432996919,0.0,0.0
P02,development,brgs_v34,3,18.083979924519856,0.12466380187994262,0.7074120044708252,0.0012638131491587157,0.3946397602558136,0.0016458623114754011,814666.0,112310.75405765914,0.09349588056405385,0.0019757053656026344,0.17924903233846035,0.002238627637487373,0.03480189045270284,0.00037908181096608186,0.058396560326218615,0.0005002114052862742,0.06414888799190521,0.0009425958813172099,0.04917442450486945,0.0012961921907805073,0.16633012653677234,0.0028127150800628773,0.45345921666324823,0.0044076035916035825,0.030181234845436222,0.003149076984557255
P02,development,official_3dgs,3,17.897241592407227,0.15964328829808652,0.7077522873878479,0.00041675967859309366,0.3986913363138835,0.0009889556989998109,1175121.3333333333,156312.20422709588,0.09472574790318807,0.0017805722785405043,0.17652075737714767,0.0025463141839891664,0.03644668310880661,0.00020565189606254215,0.061665667096773784,0.0008814263643832964,0.06558621674776077,0.0009068829991089191,0.04831155602906884,0.0008664965206230349,0.1642869232899871,0.001765556985620987,0.4509651415611056,0.0020906114771920004,0.0,0.0
