scene,role,method,runs,psnr_mean,psnr_std,ssim_mean,ssim_std,lpips_mean,lpips_std,points_mean,points_std,accuracy_mean_m_mean,accuracy_mean_m_std,accuracy_p90_m_mean,accuracy_p90_m_std,completeness_mean_m_mean,completeness_mean_m_std,completeness_p90_m_mean,completeness_p90_m_std,chamfer_l1_m_mean,chamfer_l1_m_std,fscore_1cm_mean,fscore_1cm_std,fscore_2cm_mean,fscore_2cm_std,fscore_5cm_mean,fscore_5cm_std,pruned_fraction_mean,pruned_fraction_std
P03,held_out,brgs_v34,3,21.627710978190105,0.038926718127316205,0.888724148273468,0.0010963284185834703,0.16754455864429474,0.002616034499336509,1270827.3333333333,9363.22392839845,0.05002382521828016,0.0003814000351550451,0.1323457529147466,0.0007010717176516185,0.02659743030865987,0.0002814069054006397,0.04892556468645731,0.0005220263794290472,0.038310629626115165,0.00033138800175323905,0.20619986142045155,0.0011936079150492954,0.4511220981808213,0.0026847183474007674,0.7440572895160787,0.003245589284508525,0.011319775835423344,0.0006677276070168783
P03,held_out,official_3dgs,3,21.614425659179688,0.3031454248359126,0.8873672684033712,0.0012453540889368125,0.1695652554432551,0.0024064554671293903,1338045.6666666667,68653.73883725003,0.045366983860731125,0.0004076214174594524,0.12385923738280931,0.0006810641266358822,0.0280617152651151,9.160152064313304e-05,0.05236381789048513,0.0004173189322973277,0.0367143489420414,0.00016031014688778946,0.20523863780060225,0.0010116274159391826,0.4501250496041062,0.0015542143187170245,0.752394260479388,0.0009110369135821487,0.0,0.0
P04,held_out,brgs_v34,3,23.457246780395508,1.233864212683257,0.8894450863202413,0.01163682781803092,0.20979400475819907,0.016503162349201905,787547.0,21453.26961094742,0.059652584294478096,0.008236455819277467,0.13504727333784103,0.004046099007287563,0.0233011394739151,6.356638564139585e-05,0.043049602955579754,0.00030162537238516787,0.04147686312596003,0.004088663150482306,0.2158844334434742,0.0025403674947762347,0.4917396914751921,0.005032760025594821,0.7486780385431485,0.007232830922397706,0.021188360478462554,0.0027738904350615395
P04,held_out,official_3dgs,3,23.610471725463867,1.3664493637706567,0.8970903754234314,0.006775511140212522,0.20198077460130057,0.006713664494870022,830423.6666666666,19859.819040800277,0.06664068748553593,0.008873773496602457,0.13073840936024983,0.004042986095752708,0.024046335369348526,0.00037280289688060585,0.04500799725453059,0.0009631620662592093,0.04534351204832395,0.004617380808075722,0.21598407349043316,0.002439298693072751,0.4982807197357559,0.006825460838440228,0.7612683233306576,0.010186599112633886,0.0,0.0
